"R_Med";"I_Med";"Energia";"Punti";"Ravv";"R_Fin";"R_Max";"R_Min";"T_Max";"T_Min";"Indice_Spruzzo";"T_Spruzzo"
279,27;8,49;4573,79;6905;69;267,1;293,5;291,5;49;33;0;0
281,33;8,5;4589,47;6921;69;269,68;295,24;284,1;70;34;0;0
283,03;8,5;4599,54;6937;69;271,79;297,25;276,6;75;35;0;0
281,81;8,52;4498,43;6953;69;271,4;292,99;272,4;99;40;0;0
282,04;8,51;4595,24;6969;69;272,66;293,12;271,6;94;35;0;0
282,25;8,51;4497,92;6985;69;273,52;291,41;270,1;92;40;0;0
281,83;8,53;4508,92;7001;69;273,41;289,6;269,6;103;40;0;0
279,32;8,5;4478,92;7017;70;267,67;291,35;288,7;62;38;0;0
280,97;8,5;4565,93;7033;70;270,35;293,94;281,8;68;35;0;0
281,62;8,51;4630,92;7049;70;270,93;292,97;277,5;86;33;0;0
282,13;8,51;4558,89;7065;70;272,76;292,42;274,6;97;37;0;0
281,45;8,52;4517,74;7081;70;272,84;290,74;269,5;104;39;0;0
281,43;8,53;4487,97;7097;70;273,99;290,29;267,4;104;41;0;0
278,94;8,5;4509,56;7113;71;267,38;290,07;288,4;66;36;0;0
281,18;8,49;4624,96;7129;71;270,64;293,23;283,7;69;32;0;0
281,57;8,51;4564,8;7145;71;270,54;293,67;275,4;82;36;0;0
281,78;8,51;4588,93;7161;71;272,66;292,99;270,7;96;35;0;0
281,61;8,52;4577,77;7177;71;272,27;292,31;270,1;111;36;0;0
280,65;8,53;4515,86;7193;71;274,09;289,63;267,6;118;39;0;0
269,08;8,49;4283,49;7209;72;257,41;290,49;289,4;55;39;8;114
279,75;8,51;4518,08;7225;72;269,68;291,69;283,5;77;37;0;0
280,24;8,51;4583,96;7241;72;270,93;291,85;274;83;34;0;0
280,6;8,5;4526,52;7257;72;270,83;290,55;270,4;96;37;0;0
280,19;8,52;4497,01;7273;72;271,69;290,29;269;101;39;0;0
279,67;8,53;4500,55;7289;72;272,37;288,78;268,4;117;39;0;0
277,55;8,5;4426,96;7305;73;267,38;289,62;289,4;55;39;0;0
279,32;8,5;4441,51;7321;73;268,53;289,66;281,3;79;40;0;0
280,75;8,5;4563,25;7337;73;270,54;292,39;274,4;81;35;0;0
280,11;8,51;4543,23;7353;73;271,51;289,76;270,4;106;36;0;0
280,63;8,51;4516,12;7369;73;272,08;289,63;269,9;109;38;0;0
